design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops
400_adaptive,adaptive,4,0,uniform_random,0.925,690487,0.538568,2080.363326,14.995345,2095.358671,3.656631
400_adaptive,adaptive,4,0,uniform_random,0.950,690929,0.538923,2140.182987,15.029838,2155.212825,3.655115
400_adaptive,adaptive,4,0,uniform_random,0.975,692610,0.540232,2222.801909,15.131607,2237.933517,3.653391
400_adaptive,adaptive,4,0,uniform_random,1.000,693793,0.541132,2283.654776,14.979726,2298.634502,3.654334
440_adaptive,adaptive,4,4,uniform_random,0.025,31838,0.024843,2,9.902167,11.902167,3.436240
440_adaptive,adaptive,4,4,uniform_random,0.050,64150,0.0500594,2.000453,9.916880,11.917333,3.426806
440_adaptive,adaptive,4,4,uniform_random,0.075,95712,0.0746938,2.002081,9.979646,11.981727,3.439691
440_adaptive,adaptive,4,4,uniform_random,0.100,127782,0.0996984,2.004921,10.014842,12.019763,3.437068
440_adaptive,adaptive,4,4,uniform_random,0.125,159686,0.124619,2.010143,10.070026,12.080170,3.441948
440_adaptive,adaptive,4,4,uniform_random,0.150,191898,0.149737,2.017124,10.111555,12.128679,3.439542
440_adaptive,adaptive,4,4,uniform_random,0.175,224032,0.174826,2.027514,10.172422,12.199936,3.444027
440_adaptive,adaptive,4,4,uniform_random,0.200,256013,0.199805,2.043445,10.236735,12.280180,3.447867
440_adaptive,adaptive,4,4,uniform_random,0.225,288236,0.224927,2.062301,10.324782,12.387083,3.459263
440_adaptive,adaptive,4,4,uniform_random,0.250,320370,0.250019,2.088800,10.414797,12.503597,3.467212
440_adaptive,adaptive,4,4,uniform_random,0.275,352385,0.274986,2.125381,10.511228,12.636609,3.475379
440_adaptive,adaptive,4,4,uniform_random,0.300,384295,0.299884,2.170732,10.630975,12.801707,3.483918
440_adaptive,adaptive,4,4,uniform_random,0.325,415912,0.324562,2.233678,10.812011,13.045689,3.501210
440_adaptive,adaptive,4,4,uniform_random,0.350,447830,0.349455,2.312540,11.107384,13.419923,3.514638
440_adaptive,adaptive,4,4,uniform_random,0.375,479778,0.374355,2.440596,11.727517,14.168112,3.511683
440_adaptive,adaptive,4,4,uniform_random,0.400,511531,0.399094,2.629375,12.287111,14.916487,3.510293
440_adaptive,adaptive,4,4,uniform_random,0.425,543619,0.424135,3.013421,12.656651,15.670071,3.505153
440_adaptive,adaptive,4,4,uniform_random,0.450,575483,0.448955,3.639124,13.016053,16.655177,3.498673
440_adaptive,adaptive,4,4,uniform_random,0.475,607708,0.474124,5.123547,13.294237,18.417783,3.496537
440_adaptive,adaptive,4,4,uniform_random,0.500,639350,0.498759,7.743125,13.509020,21.252145,3.488095
440_adaptive,adaptive,4,4,uniform_random,0.525,670084,0.52271,19.678685,13.804246,33.482931,3.481542
440_adaptive,adaptive,4,4,uniform_random,0.550,696993,0.54371,63.812368,14.037310,77.849679,3.477600
440_adaptive,adaptive,4,4,uniform_random,0.575,702440,0.54795,236.455154,14.117113,250.572267,3.477778
440_adaptive,adaptive,4,4,uniform_random,0.600,701017,0.546813,431.378536,14.149280,445.527815,3.478970
440_adaptive,adaptive,4,4,uniform_random,0.625,703227,0.548577,604.635912,14.099274,618.735186,3.476920
440_adaptive,adaptive,4,4,uniform_random,0.650,701961,0.547547,773.445219,14.120023,787.565241,3.477696
440_adaptive,adaptive,4,4,uniform_random,0.675,702075,0.547673,925.834446,14.158319,939.992765,3.477555
440_adaptive,adaptive,4,4,uniform_random,0.700,702557,0.54803,1076.149450,14.122724,1090.272174,3.476616
440_adaptive,adaptive,4,4,uniform_random,0.725,702744,0.548193,1216.513673,14.109825,1230.623499,3.477193
440_adaptive,adaptive,4,4,uniform_random,0.750,702201,0.54775,1338.018495,14.130505,1352.149000,3.477901
440_adaptive,adaptive,4,4,uniform_random,0.775,702978,0.54838,1454.853858,14.124483,1468.978341,3.476969
440_adaptive,adaptive,4,4,uniform_random,0.800,701896,0.547512,1562.624372,14.097107,1576.721479,3.477800
440_adaptive,adaptive,4,4,uniform_random,0.825,702462,0.547949,1669.417958,14.145865,1683.563822,3.476434
440_adaptive,adaptive,4,4,uniform_random,0.850,703644,0.548868,1759.054807,14.094148,1773.148956,3.474438
440_adaptive,adaptive,4,4,uniform_random,0.875,703651,0.548917,1851.179088,14.119437,1865.298525,3.475435
440_adaptive,adaptive,4,4,uniform_random,0.900,703404,0.548695,1944.283259,14.109069,1958.392328,3.476468
440_adaptive,adaptive,4,4,uniform_random,0.925,703727,0.54895,2022.567746,14.120173,2036.687918,3.477863
440_adaptive,adaptive,4,4,uniform_random,0.950,703570,0.54882,2106.278649,14.110987,2120.389636,3.476275
440_adaptive,adaptive,4,4,uniform_random,0.975,702517,0.547999,2186.224350,14.094961,2200.319311,3.478744
440_adaptive,adaptive,4,4,uniform_random,1.000,703684,0.548904,2247.662538,14.139487,2261.802024,3.476728
